lat,lat_dir,long,long_dir,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
5,S,105,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,S,110,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,S,115,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,S,120,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.51,180.656,948.204,1113.936,1199.532,1331.016,1504.872,1610.772,1685.448,1912.284,2280.228,2398.44,2728.824,2784.096,3257.292,3121.98,3399.228,3629.592,5524.956,4094.784
5,S,125,E,,,,,,,,,,,,,,,,,,,,,268.788,,,,,,,,258.024,406.5,1422.3,1670.904,1799.292,1996.548,2257.296,2416.164,2528.16,2868.444,3420.336,3597.648,4093.236,4176.168,4885.956,4682.964,5098.848,5444.388,8287.416,6142.188
5,S,130,E,,,,,,,,,,,,,,,,,,,,,125.822,,,,,,,,10.751,33.876,395.07,556.968,599.772,665.52,752.424,805.38,842.724,956.148,1140.12,1199.208,1364.412,1392.048,1628.652,1560.984,1699.62,1828.811,2762.46,2047.404
5,S,135,E,,,654.581,234.193,,192.501,258.257,,,,,,236.797,,,,,,,,,,,625.397,,181.323,,,,,,,,,,,,,,,,,,,,,,
5,S,140,E,,,653.417,158.787,539.927,,1736.249,1478.176,276.871,292.341,602.123,99.575,621.02,85.463,,,117.455,,96.727,49.652,,,85.508,783.45,,264.481,117.397,254.841,264.459,,528.777,2272.758,1311.648,1514.012,115.462,494.653,81.387,,,,,,,26.645,,39.31,,
5,S,145,E,,,170.073,299.462,637.308,198.509,1813.466,1413.094,1133.173,,2499.686,866.003,1966.811,155.826,,,563.681,429.866,496.907,65.819,,745.956,572.592,1054.105,1045.211,494.31,1112.518,921.654,2152.574,392.793,3935.793,3383.213,3221.986,2260.347,955.457,2158,1067.895,270.354,,,,,,54.071,,75.229,,
5,S,150,E,,,327.466,138.337,447.562,,133.223,530.316,491.745,303.922,,1879.819,1221.58,495.4,583.199,113.583,637.94,260.062,966.197,81.999,,1151.728,738.454,1703.72,923.855,369.414,587.41,1020.597,1432.173,179.62,3469.473,2508.778,1859.979,767.476,772.619,1445.366,868.394,1.243,1.315,,59.186,,1.496,,,,,
5,S,155,E,,,578.738,1006.266,,,,613.407,251.552,617.194,896.254,2026.737,797.201,884.374,1226.377,245.753,1812.812,174.395,2015.553,590.715,170.601,1933.119,455.465,2154.929,392.051,879.304,1379.27,3493.301,2934.201,2485.561,1587.199,2947.997,3978.811,526.509,781.922,2324.329,314.342,,,,385.921,156.704,,81.742,24.665,93.742,,
5,S,160,E,,,758.468,,,,1194.766,1651.36,2365.54,399.659,1421.585,1038.631,969.653,420.245,3440.881,193.512,1793.282,75.09,1664.415,97.952,626.112,1531.403,930.627,657.727,716.377,824.27,502.668,2053.437,1856.727,1390.491,1646.855,597.753,1592.99,973.491,1305.532,1979.7,177.721,1151.281,1440.358,3090.447,3123.565,673.141,1303.196,1092.819,1088.979,250.768,253.751,472.31
5,S,165,E,,,151.038,,,,130.592,838.547,733.953,679.438,2088.923,1024.193,1680.896,1251.893,3488.111,346.482,2785.794,138.835,1001.954,1099.127,584.677,935.379,921.163,299.091,337.346,457.639,1301.799,2600.001,2279.181,1361.584,2421.842,191.847,1151.277,270.161,546.032,943.105,51.06,394.029,910.068,1887.825,1499.616,,981.917,1348.501,608.964,473.556,630.102,911.752
5,S,170,E,,,,,,585.501,903.235,2884.733,2373.44,2239.815,4946.661,1322.348,1496.493,700.197,1056.379,185.408,1692.889,477.036,143.091,170.993,,131.024,718.988,153.005,125.731,232.21,935.052,1870.51,1232.152,1530.398,2357.818,516.296,1760.501,805.759,753.093,1129.592,147.954,101.41,2021.226,1953.511,861.409,276.084,1005.898,1108.537,724.929,1178.355,1298.164,1483.486
5,S,175,E,,,,,,363.312,229.348,1626.863,1040.415,2042.288,1343.253,494.464,421.594,473.198,639.568,185.429,1100.22,187.068,526.539,,65.847,89.231,239.339,49.393,238.997,263.204,536.967,1997.753,748.538,1676.388,2900.596,551.606,1622.153,2183.81,1606.896,2336.474,530.907,447.54,1764.613,1736.073,685.886,423.89,319.359,330.349,567.349,888.462,880.133,198.365
5,S,180,W,,,,,,447.693,,704.682,1238.458,1619.145,2571.796,585.047,481.138,777.806,481.124,582.803,1215.014,393.095,225.755,425.941,,238.954,188.77,65.978,,691.948,869.344,3066.669,763.935,1385.448,3222.318,668.369,900.403,1204.53,899.767,1568.045,281.597,502.281,1615.15,1532.699,581.483,409.172,1401.132,649.551,363.26,976.106,450.273,350.252
5,S,175,W,,,,,197.207,830.216,,358.849,824.869,203.507,799.875,967.497,1947.992,1342.608,488.287,241.276,457.266,776.788,964.9,1272.941,798.53,267.326,397.249,305.459,473.543,728.556,1572.759,2203.23,331.391,616.757,1799.565,811.414,1092.965,2010.104,1520.795,2376.403,169.831,659.691,771.813,840.459,478.803,170.3,1072.668,963.765,1626.108,493.507,836.354,1426.325
