LAT,LAT_D,LONG,LONG_D,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
35,N,165,E,393.247,585.724,942.048,1742.05,1578.751,737.808,426.298,541.929,366.444,471.525,938.944,426.09,299.836,662.65,725.167,688.251,756.06,876.464,243.322,29.824
35,N,170,E,420.272,681.555,1182.567,1563.754,1352.171,540.088,497.151,452.052,933.817,374.223,1215.036,563.859,261.493,160.947,311.684,224.59,476.271,470.928,145.002,67.506
35,N,175,E,98.446,79.737,,84.129,340.948,70.729,195.653,395.62,1109.997,503.103,555.417,643.699,120.212,250.952,179.28,134.153,112.686,31.038,86.185,83.263
35,N,155,W,,,,,347.017,118.259,59.999,244.412,176.719,703.972,96.545,245.832,,17.511,,,,,668.04,12.042
35,N,160,W,141.394,,,,386.314,286.862,64.654,112.457,338.697,1205.048,697.459,291.887,21.632,,90.948,197.434,339.767,632.967,189.007,67.588
35,N,165,W,187.632,626.654,310.955,46.715,298.904,203.033,,218.807,527.755,747.581,522.917,488.695,240.82,293.316,189.508,220.876,252.019,257.489,,229.13
35,N,170,W,773.257,59.869,186.937,281.784,31.496,66.786,,217.032,284.437,456.178,367.252,602.661,401.362,197.584,170.335,243.774,597.501,226.418,,265.047
35,N,175,W,421.778,,367.958,62.351,132.196,,,,69.161,216,553.206,647.758,392.122,126.244,133.841,146.05,207.611,116.403,,257.432
35,N,180,W,304.021,,119.628,,,,,,184.174,182.375,637.044,293.622,39.828,0.683,156.705,3.054,112.261,61.962,,
40,N,135,E,,,,,,,,,,,,,,,,,,,,
40,N,140,E,,,,,,,,,,,0.132,,10.106,,,,,,,
40,N,145,E,,,,,,,,,,,,,,,,,,,,
40,N,150,E,110.286,42.357,174.358,,,,15.052,29.126,118.344,,,,224.857,68.936,147.86,392.693,39.548,345.452,610.034,645.424
40,N,155,E,19.99,53.263,,45.319,23.556,226.249,170.228,30.056,17.37,,,,5.387,5.307,37.749,,75.108,64.068,6.104,220.214
40,N,160,E,,,,,,38.964,,16.192,,,13.652,,1.936,0.973,30.939,,6.381,1.727,9.565,
40,N,165,E,,,,,,25.429,32.044,21.358,,,39.053,38.022,83.845,30.887,91.383,217.14,18.024,40.214,24.34,
40,N,170,E,,,,,58.749,15.049,85.032,40.76,50.328,,44.64,494.822,121.043,338.314,17.518,405.861,172.347,383.221,62.975,
