,,,,Hundred Hooks,,,,,,,,,,,,,,,,,,,
LAT,LAT_D,LONG,LONG_D,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
15,N,180,W,,,,12123.98,3244.75,909.09,,856.32,1174.93,6907.33,5327,890.9,5081.85,9553.62,4609.31,1003.87,1965.57,9627.33,14213.57,10651.09
20,N,110,E,,,,,,,,,,,,,,,,,,,,
20,N,115,E,,,,,,,,,,79388.86,99933.9,87350.15,8712.49,14174.6,37987.48,21611.49,18198.4,6433.93,3366.71,1845.82
20,N,120,E,43668.39,48420.39,48357.17,21801.29,22003.54,15890.69,303947.03,36520.92,24670.09,327594.65,335359.2,476491.66,80007.22,81814.98,136628.43,144834.84,72139.27,30470.57,19928.74,16180.34
20,N,125,E,58568.73,61006.5,85974.03,33327.24,37127.88,26567.16,485379.23,47028.42,42628.61,21881.81,12409.18,22412.84,35526.57,40203.15,47724.39,62417.09,49606.4,44232.14,29012.12,34578.81
20,N,130,E,40776.8,35377.03,35850.37,34505.04,32788.33,30176.96,145002.72,43078.08,35976.96,20792.25,13213.21,7941.47,16003.74,23613.87,21374.38,26908.8,34367.69,13896.16,14665.12,16572.43
20,N,135,E,12637.76,11461.58,4743.32,13901.39,8909.43,10088.17,15271.6,8515.11,19544.77,7781.85,2268.38,1935.83,4308.16,30580.58,26065.3,40586.86,25006.19,22794.89,18232.89,30430.8
20,N,140,E,17586.82,8943.43,2443.21,3580.38,3191.37,6616.58,6813.7,2733.72,10365.68,,,3553.78,23596.44,18640.73,14920.6,19420.42,13568.89,10595.12,11617.72,9975.71
20,N,145,E,8827.57,13211.67,5202.34,3116.66,7671.44,17522.45,12410.88,4038.94,15297.75,954.38,1218.5,,74080.7,90545.26,60910.7,47048.55,52101.53,50992.49,33832.52,24548.96
20,N,150,E,5729.69,23659.26,28888.35,13217.43,17776.54,28454.33,17184.72,4888.05,15896.95,15788.77,8419.65,7403.52,52060.23,39069.56,35118.51,37619.65,44698.6,29694.84,34890.98,31369.52
20,N,155,E,5592.34,13812.55,9122.93,,7884.42,5191.87,1653.89,1963.18,928.17,2584.17,1151.39,,26996.7,38130.63,21262.99,19110.58,25768.86,26148.67,13328.51,14973.88
20,N,160,E,2832.6,10061.37,12134.3,1199.05,5595.12,4142.35,8796.64,3010.27,,,1523.57,2287.31,22567.48,19288.05,15642.9,8194.73,25142.1,17675.58,6188.78,7094.64
20,N,165,E,,,1037.89,2452.6,3471.62,2374.16,3059.48,4308.35,,,,,11180.63,13141.89,6333.16,2241.8,4425.57,2175.58,1760.19,821.72
20,N,170,E,1718.03,,1448.22,3133.27,,1019.63,4907.7,3084.1,1523.95,,3190.95,,15735.09,20147.67,12906.66,7153.04,10651.2,7640.38,2222.54,4003.94
20,N,175,E,,,,9757.96,10330.44,3102.73,1531.25,,3738.4,,1409.46,1280.46,24871.31,32728.12,6746.67,953.65,10448.45,1845.85,1068.1,2393.43
20,N,155,W,18008.16,7734.2,3179.88,10818.38,23476.57,10581.72,20064.16,32127.46,45668.72,28658.55,45711.43,36144.3,36629.01,44405.64,35779.93,18680.81,28653.88,19088.4,33212.04,48670.76
20,N,160,W,18325.98,15479,12178.02,16452.8,23255.91,8688.14,23306.38,24921.56,25549.86,27291.3,39759.15,32808.38,26519.93,27385.98,37390.23,18074.38,28354.12,39436.06,38957.89,46493.43
20,N,165,W,9751,17434,27851.01,10944.81,16240.2,12812.74,16584.05,16893.27,18187.67,11325.09,14502.97,19157.9,11848.85,20176.99,9216.81,4683.85,18067.51,28181.63,22201.25,13524.53
20,N,170,W,868,4045,9318.99,11779.67,2726.67,3841.3,1392.9,2323.89,5418.25,996.24,2582.55,16439.59,12725.84,15341.3,12771.78,2233.66,17583.43,9712.21,14272.12,15951.67
20,N,175,W,,,816.09,,,6520.66,,,1372.9,2901.23,,,,9506.68,2466.81,1653.15,4456.46,879.32,,
20,N,180,W,,989.02,,2997.09,,1278.18,3643.75,,1116.87,6098.98,907.48,,3924.14,9916.78,1805.03,,5369.7,2148.2,,
25,N,115,E,,,,,,,,,,,,,,,,,,,,
25,N,120,E,,,,,,,,,,16894.73,12602.36,36268.46,18395.99,1403.17,12562.21,8056.99,1703.43,1180.52,1982.57,
25,N,125,E,15816.97,21682.61,10404.99,11819.31,20855.11,16441.22,13917.19,7290.41,13112.61,24271.18,16221.5,23820.85,30056.79,26270.05,25770.7,34579.16,30768.09,28568.85,29793.55,29683.65
25,N,130,E,72225.85,73294.94,73350.65,93038.57,89679.95,104426.66,102514.62,107650.2,110382.54,109632.76,73106.17,93699.86,84492.21,53238.26,46069,76598.45,69886.05,74919.04,73656.46,80719.97
25,N,135,E,13851.16,16371.24,33637.37,39513.96,29831.87,37935.21,48245.98,20147.69,16389.28,26727.65,49354.6,26326.24,34470.45,59937.03,48205.86,33382.16,74619.76,69942.11,60695.84,48066.63
25,N,140,E,26986.75,36224.93,23951.58,23219.39,13696.11,28334.53,24605.48,22101.69,17048.51,16577.49,20187.47,27198.52,18817.39,25598.49,17297.3,19753.99,26764.64,31414.68,26911.61,13754.89
25,N,145,E,15163.11,26813.48,12983.66,6754.44,6611.85,8038.68,14862.75,1806.2,7049.31,6717.33,8587.59,9767.02,104534.5,136397.57,80016.97,82910.41,84648.39,82410.5,59143.88,54620.94
25,N,150,E,11781.8,9182.3,7195.2,4997.6,3561.95,3006.51,2975.23,2337.34,930.17,4282.84,2460.72,5282.67,92313.85,66118.44,62187.93,59399.29,62550.98,48481.09,31271.36,23341.51
25,N,155,E,10236.71,9651.07,3580.56,2964.85,5306.48,,4241.83,2783.97,1179.2,3006.72,3379.97,3502.52,51847.45,53567.42,40220.93,35016.52,32733.62,33978.38,26463.52,23630.85
25,N,160,E,18013.92,14336.51,11044.27,16023.92,8666.57,3699.53,5877.2,12369.13,6602.75,9801.2,5215.06,13498.34,44880.33,49337.27,24897.47,30709.23,43033.91,28066.33,23481.94,23143.07
25,N,165,E,12007.47,14059.98,17202.54,18831.09,17099.95,15478.57,8894.61,20274.31,7384.66,10944.08,13686.45,18349.84,42601.13,32565.01,26919.04,15879.44,34812.13,18650.55,10150.48,10198.14
25,N,170,E,6579.92,6225,9353.09,16882.83,8081.79,10194.04,13483.91,7604.58,3279.49,15548.04,31419.58,17274.47,31094.9,18194.11,11678.14,7285.53,24118.09,13734.03,5066.35,6471.33
25,N,175,E,,1351.02,1505.5,8891.57,4253.25,5528.84,5989.51,5253.2,6906.74,13686.4,18654.47,6802.09,6646.82,18583.49,5285.91,2293.61,10746.87,5211.73,3214.18,2169.85
25,N,155,W,37151.99,4930.24,10743.76,19013.35,11193.35,12399.29,2737.96,22447.46,33473.81,12322.69,32761.48,16679,17290,20110.84,16890.21,17165.1,18038.49,30561.74,38857.45,41953.79
25,N,160,W,4088.12,12370.74,12276.17,29367.2,11137.13,12675.22,11006.05,20339.78,17616.67,14530.56,33812.12,37294.42,26151.98,32050.7,24777.13,30470.76,27747.99,32313.99,41984.39,42568.6
25,N,165,W,5561.38,7786.87,4564.25,4309.08,2487.18,6986.15,9219.99,6752.9,11714.89,16924.7,14259.5,21750.44,26376.06,23468.05,14615.62,23607.94,23577.24,23246.08,22382.25,27649.86
25,N,170,W,2636.12,1861.19,,3984.89,,7732.06,3648.01,6352.59,2300.87,16857.18,10461.8,7635.52,4622.34,7511.21,8899.93,11302.02,12601.29,8798.92,7051.49,6402.48
25,N,175,W,,,,,,1067.68,,,4504.35,7561.89,3661.73,2119.69,,2183.81,,5036.83,1459.59,1565.28,1047.61,
25,N,180,W,847,,,,,,1523.96,,,4377.34,958.16,,,,,,,2248.63,,
30,N,120,E,,,,,,,,,,,,,,,,,,,,
30,N,125,E,,,,,,,,,,,,,,,,,,,,
30,N,130,E,48086.79,49205.91,44262.54,35550.48,34604.1,29889.95,56686.86,66507.1,46828.57,93227.03,55046.79,48332,47882.36,55327.93,70196.04,68384.86,76144.35,66189.56,84967.25,60465.55
30,N,135,E,48026.19,71469.3,45925.44,46238.7,49696.77,30220.7,32080.39,37967.52,44842.99,79964.46,46663.58,54463.23,49155.07,69396.23,79877.12,62479.99,60456.95,69249.11,52441.28,55593.78
30,N,140,E,51995.85,65868.36,48821.14,57932.19,55731.79,53700.44,47515.38,57105.3,56071.73,76347.64,86096.94,99372.35,144174.89,124353.7,96043.91,66690.61,67949.86,52720.05,42628.97,51934.5
30,N,145,E,27487.71,51742.62,54844.39,34709.29,39859.72,53385.14,41362.92,23461.8,38941.77,31651.39,41745.85,62075.35,66731.58,103356.13,82145.72,74671.95,34900.4,48440.02,33874.05,42795.49
30,N,150,E,16532.82,14583.46,26281.23,22281.41,25574.55,15594.27,44488.6,18805.12,52840.86,20628.12,38844.83,40616.19,69154.55,54800.61,46118.54,36578.34,27569.19,41236.93,18664.8,25719.24
30,N,155,E,19848.45,15741.1,12156.64,10098.37,6925.99,32299.01,21854.17,12003.84,23154.05,12224.73,12936.49,27196.02,66316.28,45036.75,40504.81,38594.55,34025.4,41674.88,27494.83,15320.99
30,N,160,E,38400.93,45790.42,20348.64,13057.55,32389.14,18199.31,22487.08,15261.32,8532.12,10232.84,6853.9,14567.97,41771.96,31121.18,24314.42,19699.54,23670.63,23837.75,17462.69,17912.4
30,N,165,E,14839.47,25057.63,14997.86,8101.15,15445.39,6026.56,15252.87,19306.3,19084.47,4978.7,11669.48,13327.68,31582.37,29625.86,9788.81,8090.91,9803.73,23985.88,912.98,5339.53
30,N,170,E,10167.43,20645.35,29973.74,21920.62,19425.01,16373.48,21264.16,22760.16,14324.44,22780.04,26339.42,28920.79,54362.29,59798.07,22067.98,21218.39,28057.43,36550.81,23353.04,20488.89
30,N,175,E,3049.23,977.75,2529.21,,8986.79,9394.14,10974.22,21490.19,25224.48,20803.06,13584.63,18433.04,28532.56,45400.8,18303.65,8747.1,32146.99,21878.74,14484.65,4470.37
30,N,155,W,6373.25,14275.13,10863.32,13919.68,24309.62,4457.91,4547.83,6685.14,13429.64,16845.6,21767.48,17922.41,19858.03,13878.64,13059.74,8983.47,21059.18,26702.39,18777.08,22932.86
30,N,160,W,6857.59,9360.34,8166.1,10187.76,11403.84,8697.71,7396.76,11243.58,17681.07,20351.62,33790.51,30898.26,26321.12,25990.74,32395.04,14363.05,23812.1,24638.78,19671.42,13546.99
30,N,165,W,11804.63,13865.48,3855.18,7112.75,6032.09,25905.22,6557.83,8324.89,14032.01,37350.71,24249.18,23643.76,32396.87,22287.79,36285.72,15512.07,25223.14,28307.66,13635.08,16162.15
30,N,170,W,9176.3,2299.28,8456.13,1045.5,2247.6,6269.61,2408.96,5696.71,15931.21,31173.44,12341.31,17706.79,19400.56,19740.18,16988.51,14681.89,21053.96,12758.02,5966.53,11820.84
30,N,175,W,2095.47,3903.78,1246.88,,,6908.38,4587.68,4706.18,11119.67,34302.7,11659.6,14292.01,11300.52,12211.15,12609.33,10672.54,18616.37,11735.12,2181.87,6439.43
30,N,180,W,1020.02,1283.82,1879.05,,,815.68,1893.35,3729.26,3533.27,10472.27,6053.34,2801.48,4375.71,14608.03,8493.12,6890,11831.6,9290.82,,1191.29
35,N,120,E,,,,,,,,,,,,,,,,,,,,
35,N,130,E,,,,,,,,,,,,,,,,,,,,
35,N,135,E,,,,,,,,,,,,,,,,,,,,
